word,explanation
sloopy,"niestaranny, niedbały (praca), niedbały, niechlujny (osoba)"
diligent,"pilny, staranny, sumienny (np. uczeń)"
connoisseur,"znawca, koneser"
intersection,"część wspólna, iloczyn zbiorów"
vertex,wierzchołek
as many as,aż (...number)
depict,"przedstawiać, obrazować"
intuitive,intuicyjny
introduction,"wprowadzenie, wstęp (w książce)"
associativity,łącznośc [a+(b+c)=(a+b)+c]
unforeseen,nieoczekiwany (rozwój wypadków)
due to smt,z powodu czegoś
due to sb,dzięki komuś
unconducive,niesprzyjający
circumstances,okoliczności
circumvent,"obchodzić, omijać (przepisy)"
colloquial,"potoczny, kolokwialny"
push,pchać
pull,ciągnąć
edifice,gmach (wielki okazały budynek)
cuisine,"kuchnia np. japońska, tajska"
mock,"drwić, nabijać się, sztuczny, podrobiony"
ornate,"ozdobny, kwiecisty (o stylu mówienia, pisania)"
ornament,ozdoba
exceedingly,"niezmiernie, nadzwyczaj, bardzo, niezywkle"
extremely,"niezmiernie, nadzwyczaj, bardzo, niezywkle"
increasingly,"coraz bardziej, coraz częściej"
take delight in,"rozkoszować się czymś, czerpać radość"
take satisfaction in doing,czerpać satysfakcję z robienia czegoś
self-improvement,samodoskonalenie
personal development,rozwój osobisty
advancement,"polepszenie, postęp, rozwój"
self-advancement,rozwój osobisty
advance,"posuwać się na przód, rozwijać się, czynić postępy"
acquire,"nabywać, zdobywać, osiągać"
affection,"uczucie (miłość lub przyjaźń do kogoś), przywiązanie"
tricky,"trudny, podchwytliwy"
shake,trząść się
coal-black,czarny jak smoła
blink,mrugać (oczami)
beer gut,"piwny, duży brzuch"
stomach,brzuch
armpit,pacha
gesture,zrobić gest
mall,galeria handlowa
heft,"dźwigać, nosić"
underneath,"pod, poniżej, pod spodem (he looked underneath the carpet)"
ripped,poszarpany
knee,kolano
altercation,sprzeczka
anticipate,"spodziewać się, oczekiwać"
apprehend,"aresztować, schwytać (złodzieja)"
apprentice,"praktykant, odbywać praktyki"
apprenticeship,"praktyki, praktyka"
baptise,ochrzcić
bias,"stronniczość, uprzedzenie, nastawienie"
blush,"zaczerwienić się, zarumienić się (ze wstydu)"
bookworm,mól książkowy
bottle up smt,"dusić w sobie coś, tłumić (emocje)"
bowtie,mucha do garnituru
brat,"bachor, smarkacz"
breastfeed,karmić piersią
briefly,zwięźle
bulky,dużych rozmiarów
bunch of smt,"grupa/bukiet czegoś, masa, kupa (rzeczy)"
cannabis,"konopie indyjskie, marihuana"
casket,trumna
cattle,bydło
caution,"ostrożność, rozwaga"
chagrined,"rozgoryczony, rozczarowany"
chew,gryźć
cliffhanger,trzymające w napięciu zakończenie odcinka serialu
clueless,niezorientowany (ktoś w jakimś temacie)
clumsy,nieporęczny
clue,"wskazówka, trop, poszlaka, pojęcie (I don't have a clue who you are)"
vicinity,"bliskość, otoczenie, okolica, sąsiedztwo"
commendation,"pochwała, wyróżnienie, rekomendacja"
complacent,"zadowolony z siebie, pełen samozadowolenia, beztroski"
conjure up,"przywołać wspomnienie, obraz, wywyołać, wyczarować"
courtship,"staranie o rękę, konkursy, zaloty"
crestfallen,"przygnębiony, strapiony, zawiedzony"
cuff sb,założyć komuś kajdanki
curtain,firanka
debonair,"uprzejmy, elegancki, wytworny"
decline,"spadek, zanik, utrata"
deflate,"umniejszać (znaczenie czegoś), podważać (argument)"
delineate,"nakreślać, wytyczać"
delusion,"złudzenie, urojenie"
devout,pobożny
dim,"przyćmiony, ciemny (światło)"
distinction,"rozróżnienie, różnica"
doomed,"przesądzony, z góry skazany"
doormat,wycieraczka do butów
dosage,dawkowanie
drop,"upuszczać, spadać, kropla, idiota"
dune,wydma
dupe sb,"nabrać kogoś, oszukać"
duty,obowiązek
eager,"chętny, ochoczy"
eavesdrop,podsłuchiwać
elbow,łokieć
embellish,"podkolorować, upiększyć, ozdabiać (prawdę, opis, budynek)"
embodiment,"ucieleśnienie, uosobienie, wcielenie"
embolden,ośmielać się
engage in smt,"zajmować się, podejmować się czegoś"
enroll on smt,zapisać się na coś
entice,"kusić, skusić"
enticing,kuszący
entrust smt to sb,powierzyć coś komuś
envy sb smt,zazdrościć komuś coś
essentially,"zasadniczo, w gruncie rzeczy"
evade smt,"pomijać, omijać, ignorować, uchylać się od czegoś, unikać czegoś"
exacerbate,"pogarszać (samopoczucie, sytuację)"
monochromatic,"jednokolorowy, czarno biały"
lack smt,brakować czegoś
exceed,"przekroczyć, przewyższyć (limit)"
exclude,wykluczać
include,"wliczać, włączać"
exhaust,"wyczerpywać (zapasy, temat), męczyć, wykańczać"
exhilarating,"ekscytujący, porywający"
extortionist,szantarzysta
extracurricular,"ponadprogramowy, pozaszkolny, dodatkowy (zajęcia, aktywności)"
fairly,"raczej, dosyć"
feign,"symolować, udawać"
fella,"facet, gość"
fetch,przynieść (pójść po coś i wrócić)
fiddle,fałszować (np. dokumenty)
flaw,skaza
flinch,wzdrygać się
folks,ludzie
forhtcoming,"przyszyły, nadchodzący, mający sie ukazać"
glimpse,"rzucić okiem, mignąć"
goof off,obijać się
gourmet,smakosz
grapple with,borykać się/zmagać się z czymś
gratitude,wdzięczność
grief,"żal, rozpacz, smutek"
guile,"oszustwo, podstęp"
gush,"tryskać, wytrysnąć (o krwi, ropie)"
notion,"pojęcie, pomysł, myśl, pogląd"
haze,"znęcać się nad nowym (uczniem, żołnierzem)"
hermit,pustelnik
heroine,bohaterka
hit on sb,podrywać kogoś
horseplay,"wygłupy, harce"
hostile,"nieprkzyjazny, wrogi"
in particular,w szczególności
incantation,zaklęcie
incentive,"bodziec, motywacja, zachęta"
obsolate,przestarzały
occupy,"zajmować (miejsce, pokój)"
anchor,"opuścić kotwicę, kotwica, umocowa, przymocować"
mourn,"opłakiwać, lamentować"
myocarditis,zapalenie mięsnia sercowego
infiltration,przenikanie
infiltrate,"infiltrować (przenikanie obcych ludzi, ideologii do jakiegoś środowiska)"
endorse,"zgadzać się z czymś, udzielać poparcia, wyrażać aprobatę (dla jakiegoś kandydata)"
untangle,"rozplątywać, rozsupłać, rozwikłać (sprawę, zagadkę)"
infer,"wnioskować, wywnioskować, wydedukować"
inconceivable,"niepojęty, niewyobrażalny"
incrimination,"oskarżenie, obwinienie"
indenture,zobowiązywać kontraktem
mild,łagodny
misbehave,źle się zachowywać (o dziecku)
miscellaneous,"rozmaity, różnorodny, pomieszany"
miserable,"smutny, przygnębiony, nieszczęśliwy"
missle,pocisk rakietowy
mutter,mamrotać
murmur,mruczeć
nearly,blisko
nest egg,"sumka na czarną godzinę, oszczędności"
nonetheless,"niemniej jednak, jednakże"
nevertheless,"niemniej jednak, jednakże"
nudge,"szturchać, popychać, popchnąć"
nurture,"wychowywać, pielęgnować (dziecko, rośline)"
on a daily basis,"codziennie, każdego dnia, na co dzień"
opaqueness,"nieprzejrzystość, mętność"
parent-teacher meeting,wywiadówka
opaque,"mętny, nieprzejrzysty"
outperform sb,"znacznie prześcignąć kogoś, przewyższać, osiągać lepsze wyniki od kogoś"
overflow,"nadmiar, przepełnienie"
pace,"tempo, szybkość (chodzenia, poruszania się)"
velocity,prędkość (wektorowa)
paralell,"porównanie (w wierszu),  podobieństwo, równoległy (w matematyce)"
partisanship,stronniczość
pathetic,"żałosny, żenujący, godny politowania"
peach,brzoskiwnia
watermelon,arbuz
lemon,cytryna
caramel,karmel
salt caramel/salted caramel,słony karmel
peak,"szczyt, maksimum (np. osiągnięć), osiągać poziom szczytowy"
peer,rówieśnik
peer into smt,przyglądać sie badawczo czemuś
pent-up,"tłumiony, skrywany (np. uczucia, emocje), skumulowany (energia), stłumiony, zdławiony (gniew, radość)"
peril,"zagrożenie, niebezpieczeństwo"
perilous,"niebezpieczny, ryzykowny"
pernicious,"szkodliwy, zgubny, groźny"
politician,polityk
prevail,"zwyciężyć, dominować, brać górę"
steer,"sterować, być na czele firmy, organizacji"
adversity,"niedola, nieszczęście, przeciwność losu"
uncertainty,"niepewność (losu), niejasność (przyszłości)"
proficiency,"wprawa, biegłość, kompetencja"
influenza,grypa
eligibility,"prawo, uprawnienie, odpowiednie kwalifikacje"
workload,obciążenie pracą (ilość pracy do wykonania)
tuition fees,czesne (opłata za studia)
rescue,"ratunek, ratować, ocalić"
retail,sprzedaż detaliczna
real estate,nieruchomość
estate,"posiadłość, majątek ziemski, osiedle"
pick up on smt,zauważać coś
pick sb up on smt,krytykować kogoś za coś
pioneer,"pionier, wynalazca"
pitiless,"bezlitosny, okrutny"
pitilessness,okrucieństwo
poke,"szturchać, trącać"
pop,wyskakiwać
pope,"papież, pop (prawosławny)"
possessed,opętany
postpone,"odłożyć, przełożyć (na później)"
put smt off,"odłożyć, przełożyć (na później), opóźnić coś"
put a pin in smt,"odłożyć, przełożyć (na później), opóźnić coś"
prayer,"modlitwa, pacierz, modły"
predator,drapieżnik
principle,"zasada, prawo, reguła"
principled,"uzasadniony, wynikający z zasad, kierujący się zasadami"
proclivity to/towards smt,skłonność do czegoś
proliferation,"rozpowszechnienie, szybki wzort liczby"
promiscuity,swoboda/rozwiązłość seksualna
be prone to,skłonny (do zrobienia czegoś)
prosperity,"dobrobyt, pomyślność, powodzenie"
province,"prowincja, województwo"
voivodeship,województwo
puberty,okres dojrzewania płciowego
adolescence,"dojrzewanie, okres dojrzewania płciowego"
pull sb/smt apart,odsuwać od siebie (np. ludzi)
purify,oczyścić
unforeseen,"nieoczekiwany, nieprzewidywalny"
occurrence,"zdarzenie, wypadek"
propinquitous,"bliski, na wyciągnięcie ręki"
resolve,"rozkładać się, rozpuszczać, rozwiązywać, decydować, postanawiać"
blessing in disguise,szczęście w nieszczęściu
blessing,"błogosławieństwo, szczęście, uśmiech losu"
disguise,"przebierać się, zmieniać wygląd, maskować się, zatuszować coś, kamuflować, ukryć (uczucia)"
bone of contention,kość niezgody
contention,"twierdzenie, spór, kwestia sporna"
acquiesce to smt,"godzić się na coś, przystawać na coś (nawet jeśli nam się nie podoba)"
jaw-dropping,"oszałamiający, imponujący"
accolade,"dowód uznania, wyróżnienie pochwała, uznanie"
knowledgable,"mądry, znający się na rzeczy, obeznany, wnikliwy"
manhandle,"sponiewierać, ochodzić się brutalnie"
yearn for smt,"tęsknić do czegoś, pragnąć czegoś"
yield,"dać, dawać, skutkować (np. wynik, odpowiedź, rezultaty), dostarczać (profity), poddawać (po walce)"
ridicule,"ośmieszać, wykpić, szydzić, drwić"
precipitation,opady atmosferyczne
humidity,wilgotność
overview,"przgląd,  ogólny zary, zarys"
vacate,"anulować, opuszczać, porzucić, zwolnić (miejsce)"
perish,"umierać, ginąć, rozkładać się, niszczeć"
hostility,wrogość
compassion,"współczucie, litość"
minority,mniejszość
majority,większość
ancestor,przodek
meerkat,surykatka
otter,wydra
endanger,"zagrażać, zagrozić"
endangerment,zagrożenie
stutter,jąkać sięe
fatigue,"zmęczenie, znużenie"
fast,pościć
diary,"dziennik, pamiętnik"
chronic,przewlekły
worldwide,"ogólnoświatowy, na całym świecie"
disseminate,"rozpowszechniać, szerzyć (poglądy, idee)"
efficacy,"skuteczność, efektywność"
avenue,"droga (sposób osiągania czegoś), możliwość"
simmer,gotować na wolnym ogniu
soucepan,"rondel, patelnia"
bay leaf,liść laurowy
crackle,"trzaskać, trzeszczeć"
stir,"mieszać, zamieszać, wymieszać (w garnku)"
assessment,"ocena, oszacowanie"
overthrow,"obalić, zburzyć, burzyć (rząd, system)"
unfazed,niewzruszony
whim,"kaprys, zachcianka, grymas"
be predicated on smt,być opartym na czymś
harrow,"męczyć, dokuczać"
utter,"całkowity, totalny, kompletny (porażka, szczerość)"
treshold,"próg, granica (bólu, wytrzymałości)"
counsel,"doradzać, radzić"
grandiose,"majestatyczny, okazały"
omniscience,wszechwiedza
omni-(noun),wszech(rzeczownik)
virtually,"niemalże, prawie, zupełnie"
hyper-(adjective),"nad, więcej, bardzo, super-(przymiotnik)"
acute,"przenikliwy, bystry, wnikliwy"
unleash,"spuszczać ze smyczy, wyzwalać, uwalaniać"
esteem,"szacunek, poważanie, szanować, cenić, doceniać"
self-esteem,poczucie własnej wartości
conceal,"ukrywać, skrywać"
retrieve,"odzyskać, odnaleźć, pobrać (z bazy danych)"
surplus,"nadmiar (prdoukcji), nadwyżka (budżetowa)"
crude,prymitywny
leggy,długonogi
seedling,"sadzonka, rozsada"
enthralled,"zafascynowany, oczarowany, urzeczony"
date palm,daktylowiec
dormancy,sen (przestarzałe)
graft,"szczepić, zaszczepić (roślinę)"
take out smt,wyjąć coś
pour smt to smt,wlać coś do czegoś
prescribe,przepisywać lekarstwa
stretching,rozciąganie (ćwiczenia)
ember,rozżarzony węgiel
hold on,"tzymać się czegoś, poczekać"
overdose,przedawkować
sucker,"naiwniak, frajer, głupek"
nefarious,"niegodziwy, nikczemny, niecny"
lift sb up,podnieść kogoś na duchu
premonition,przeczucie
slaughter,"ubój zwierząt, mord, masakara, rzeź (ludzi)"
frenzy,"szaleństwo, szał"
feeding frenzy,"burza medialna, szum medialny"
assert,"twierdzić (coś), zapewniac (o czymś), upominać się o (swoje prawa), domagać (należynych praw)"
fixture,"armatura, element instalacji lub armatury"
equivalent,odpowiednik
fauce,urządzenie kontrolujące przepływ wody z rur (kran)
perimeter,obwód (figury geometrycznej)
tear smt down,"rozdzielić, zburzyć, wyburzyć coś"
onward,"dalszy, naprzód, do przodu, wprzód"
ray,promień (światła)
anomaly,"anomalia, nieprawidłowość"
envision,"wyobrażać sobie coś, oczekiwać (że coś się stanie, pojawi), wizualizować sobie"
deficiency,"brak, niedobór (witamin, pieniędzy), słabość, niedoskonałość"
unwillingly,niechętnie (coś powiedzieć)
glance,"zerknąć, zerkać"
for a while,przez chwilę
opt for smt,zdecydować się na coś
proposition,propozycja
discern,"rozeznawać, dostrzegać"
antonym,antonim
namely,mianowicie
embrace,"przyjmować  entuzjastycznie (ofertę, możliwość), akceptować, uściskać kogoś, przytulać kogoś, obejmować (jakiś zakres)"
in order to,aby
speech,przemówienie
vocabulary,słownictwo
heritage,"dziedzictwo, spuścizna (ważne dla społeczeństwa)"
impoverish,"zubożyć (kulturę), doprowadzić do ubóstwa, zniszczyć, osłabić"
neglect,"zaniedbać (ogród, wygląd), lekceważyć (problem)"
timestamp,znacznik czasu (np. 20.11.24)
blockhead,"dureń, głupek"
delight,"przyjemność, rozkosz, zachwyt"
respite,"ulga, wytchnienie, odpoczynek"
fright,"strach, trwoga, przerażenie, postrach"
meadow,łąka
thereby,tym samym
workaholism,pracoholizm
totalate,"niszczyć, demolować, (całkowicie)"
deafen,ugłuszać
rejoice,radować się
unsteady,"chwiejny, niepewny, nietrwały"
blister,bąbel na nodze/odcisk
hangover,kac
sprain,zwichnąć (nogę)
shiver,"drżeć (z zimna, podczas choroby)"
severe,"poważny, ciężki, intensywny, ekstremalny (ból, warunki pogodowe)"
rinse,"przepłukać, opłukać, spłukać (ręce, warzywa)"
disinfectant,"środek dezynfekujący, dezynfekcyjny"
in-patient,patient who attends a hospital for treatment and stays there overnight
out-patient,patient who gets treatment in hospital but don't stay there overnight
be as fit as a fiddle,"być zdrów jak ryba, mieć super zdrowie"
be off-colour,"marnie wyglądać, średnio się czuć"
